"V1","V2","V3","V4","V5"
5,103,4.19388819255836,4.19388819255836,0
10,103,4.19388819255836,4.19388819255836,0
15,103,4.19388819255836,4.19388819255836,0
20,103,4.19388819255836,4.19388819255836,0
25,103,4.19388819255836,4.19388819255836,0
30,103,4.19388819255836,4.19388819255836,0
35,103,4.19388819255836,4.19388819255836,0
40,103,4.19388819255836,4.19388819255836,0
45,103,4.19388819255836,4.19388819255836,0
50,103,4.19388819255836,4.19388819255836,0
55,103,4.19388819255836,4.19388819255836,0
60,103,4.19388819255836,4.19388819255836,0
65,103,4.19388819255836,4.19388819255836,0
70,103,4.19388819255836,4.19388819255836,0
75,103,4.19388819255836,4.19388819255836,0
80,103,4.19388819255836,4.19388819255836,0
85,103,4.19388819255836,4.19388819255836,0
90,103,4.19388819255836,4.19388819255836,0
95,103,4.19388819255836,4.19388819255836,0
100,103,4.19388819255836,4.19388819255836,0
105,103,4.19388819255836,4.19388819255836,0
110,103,4.19388819255836,4.19388819255836,0
115,103,4.19388819255836,4.19388819255836,0
120,103,4.19388819255836,4.19388819255836,0
125,103,4.19388819255836,4.19388819255836,0
130,103,4.19388819255836,4.19388819255836,0
135,103,4.19388819255836,4.19388819255836,0
140,103,4.19388819255836,4.19388819255836,0
145,103,4.19388819255836,4.19388819255836,0
150,103,4.19388819255836,4.19388819255836,0
155,103,4.19388819255836,4.19388819255836,0
160,103,4.19388819255836,4.19388819255836,0
165,103,4.19388819255836,4.19388819255836,0
170,103,4.19388819255836,4.19388819255836,0
175,103,4.19388819255836,4.19388819255836,0
180,103,4.19388819255836,4.19388819255836,0
185,103,4.19388819255836,4.19388819255836,0
190,103,4.19388819255836,4.19388819255836,0
195,103,4.19388819255836,4.19388819255836,0
200,103,4.19388819255836,4.19388819255836,0
205,103,4.19388819255836,4.19388819255836,0
210,103,4.19388819255836,4.19388819255836,0
215,103,4.19388819255836,4.19388819255836,0
220,103,4.19388819255836,4.19388819255836,0
225,103,4.19388819255836,4.19388819255836,0
230,103,4.19388819255836,4.19388819255836,0
235,103,4.19388819255836,4.19388819255836,0
240,103,4.19388819255836,4.19388819255836,0
245,103,4.19388819255836,4.19388819255836,0
250,103,4.19388819255836,4.19388819255836,0
255,103,4.19388819255836,4.19388819255836,0
260,103,4.19388819255836,4.19388819255836,0
265,103,4.19388819255836,4.19388819255836,0
270,103,4.19388819255836,4.19388819255836,0
275,103,4.19388819255836,4.19388819255836,0
280,103,4.19388819255836,4.19388819255836,0
285,103,4.19388819255836,4.19388819255836,0
290,103,4.19388819255836,4.19388819255836,0
295,103,4.19388819255836,4.19388819255836,0
300,103,4.19388819255836,4.19388819255836,0
305,103,4.19388819255836,4.19388819255836,0
310,103,4.19388819255836,4.19388819255836,0
315,103,4.19388819255836,4.19388819255836,0
320,103,4.19388819255836,4.19388819255836,0
325,103,4.19388819255836,4.19388819255836,0
330,103,4.19388819255836,4.19388819255836,0
335,103,4.19388819255836,4.19388819255836,0
340,103,4.19388819255836,4.19388819255836,0
345,103,4.19388819255836,4.19388819255836,0
350,103,4.19388819255836,4.19388819255836,0
355,103,4.19388819255836,4.19388819255836,0
360,103,4.19388819255836,4.19388819255836,0
365,103,4.19388819255836,4.19388819255836,0
370,103,4.19388819255836,4.19388819255836,0
375,103,4.19388819255836,4.19388819255836,0
380,103,4.19388819255836,4.19388819255836,0
385,103,4.19388819255836,4.19388819255836,0
390,103,4.19388819255836,4.19388819255836,0
395,103,4.19388819255836,4.19388819255836,0
400,103,4.19388819255836,4.19388819255836,0
405,103,4.19388819255836,4.19388819255836,0
410,103,4.19388819255836,4.19388819255836,0
415,103,4.19388819255836,4.19388819255836,0
420,103,4.19388819255836,4.19388819255836,0
425,103,4.19388819255836,4.19388819255836,0
430,103,4.19388819255836,4.19388819255836,0
435,103,4.19388819255836,4.19388819255836,0
440,103,4.19388819255836,4.19388819255836,0
445,103,4.19388819255836,4.19388819255836,0
450,103,4.19388819255836,4.19388819255836,0
455,103,4.19388819255836,4.19388819255836,0
460,103,4.19388819255836,4.19388819255836,0
465,103,4.19388819255836,4.19388819255836,0
470,103,4.19388819255836,4.19388819255836,0
475,103,4.19388819255836,4.19388819255836,0
480,103,4.19388819255836,4.19388819255836,0
485,103,4.19388819255836,4.19388819255836,0
490,103,4.19388819255836,4.19388819255836,0
495,103,4.19388819255836,4.19388819255836,0
500,103,4.19388819255836,4.19388819255836,0
505,103,4.19388819255836,4.19388819255836,0
510,103,4.19388819255836,4.19388819255836,0
515,103,4.19388819255836,4.19388819255836,0
520,103,4.19388819255836,4.19388819255836,0
525,103,4.1940390562533,4.1940390562533,1
530,103,4.1940390562533,4.1940390562533,0
535,103,4.1940390562533,4.1940390562533,0
540,103,4.1940390562533,4.1940390562533,0
545,103,4.1940390562533,4.1940390562533,0
550,103,4.1940390562533,4.1940390562533,0
555,103,4.1940390562533,4.1940390562533,0
560,103,4.1940390562533,4.1940390562533,0
565,103,4.1940390562533,4.1940390562533,0
570,103,4.1940390562533,4.1940390562533,2
575,103,4.1940390562533,4.1940390562533,0
580,103,4.19464155708551,4.19705156041436,1
585,103,4.19604297057617,4.19720194766181,10
590,103,4.19761897156898,4.19810379651295,10
595,103,4.198629095362,4.19945504662472,4
600,103,4.19945504662472,4.19945504662472,0
605,103,4.19945504662472,4.19945504662472,0
610,103,4.19825384519784,4.19795354484112,3
615,103,4.19795354484112,4.19795354484112,0
620,103,4.19795354484112,4.19795354484112,0
